epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14865,1.10921,2.75514,1.34332,0.62271,0.85,0.79974,0.61001,1.59145,1.04607,1.3632,0,0,0
2,9.45271,1.17523,1.67421,1.43505,0.63184,0.85,0.80127,0.60857,1.60008,1.03686,1.36703,1.07219e-06,1.07219e-06,1.07219e-06
3,9.79808,1.05793,2.21802,1.48016,0.62837,0.85,0.84796,0.64076,1.60362,1.01695,1.36051,1.90876e-06,1.90876e-06,1.90876e-06
4,10.0697,1.29528,1.92086,1.72906,0.63998,0.85,0.84928,0.63852,1.60619,1.00522,1.36156,2.50971e-06,2.50971e-06,2.50971e-06
5,10.3227,1.00518,2.44835,1.43043,0.64171,0.85,0.84837,0.64173,1.60096,1.00542,1.35643,2.87504e-06,2.87504e-06,2.87504e-06
6,10.6409,1.02341,1.98458,1.45647,0.64631,0.85,0.84895,0.64051,1.59114,1.00909,1.34804,3.00475e-06,3.00475e-06,3.00475e-06
7,11.0232,1.2508,2.27616,1.52163,0.6723,0.89502,0.90085,0.64367,1.57302,1.00079,1.33032,2.89884e-06,2.89884e-06,2.89884e-06
8,11.4043,0.76591,1.82081,1.20387,0.63904,0.85,0.87278,0.64162,1.56707,1.00737,1.32235,2.55731e-06,2.55731e-06,2.55731e-06
9,11.7972,1.00707,1.55076,1.43374,0.63386,0.85,0.85092,0.63947,1.56739,1.01277,1.32138,1.98016e-06,1.98016e-06,1.98016e-06
10,12.2415,1.22181,1.48772,1.44777,0.6537,0.85,0.85048,0.62334,1.5708,1.00695,1.32341,1.16739e-06,1.16739e-06,1.16739e-06
