epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1274,1.74358,3.246,2.1805,0.36409,0.38136,0.22718,0.10456,1.71001,5.36227,2.51959,0.00012221,0.00012221,0.00012221
2,23.4932,1.46487,2.49602,1.91447,0.07438,0.25705,0.07072,0.0299,1.82839,6.34417,2.55516,0.000253844,0.000253844,0.000253844
3,28.8474,1.44073,2.3337,1.856,0.0766,0.37562,0.05732,0.01559,2.72399,135.327,3.47248,0.000383717,0.000383717,0.000383717
4,34.489,1.56698,2.3995,1.94568,0.10829,0.25529,0.08494,0.02648,2.16616,26.791,3.2496,0.000511831,0.000511831,0.000511831
5,39.809,1.5808,2.35715,1.98331,0.00159,0.27153,0.0013,0.00038,3.67166,inf,6.04145,0.000638185,0.000638185,0.000638185
6,45.0644,1.67692,2.46968,2.05535,0.04085,0.23986,0.02904,0.00736,3.25557,6.64577,3.74566,0.000762779,0.000762779,0.000762779
7,50.3237,1.57912,2.44747,2.00349,0.00241,0.06112,0.0008,0.00024,3.81161,246.116,4.52646,0.000885614,0.000885614,0.000885614
8,55.5739,1.68544,2.37017,2.02306,0.0026,0.06722,0.00162,0.00041,3.75951,347.389,5.27673,0.00100669,0.00100669,0.00100669
9,60.7108,1.52697,2.28584,1.93772,0.00217,0.03961,0.00093,0.00019,3.62598,23.029,4.19362,0.00105234,0.00105234,0.00105234
10,65.8177,1.59433,2.34671,2.0136,0.04976,0.12753,0.03129,0.01027,3.89224,4.89389,4.84626,0.00104501,0.00104501,0.00104501
11,71.1443,1.69791,2.30446,2.05527,0.00675,0.03077,0.00304,0.00056,4.08563,7.46115,5.56733,0.00103767,0.00103767,0.00103767
12,76.5859,1.57008,2.30545,2.00073,0.00188,0.0722,0.00125,0.00032,4.10726,26.301,5.77988,0.00103034,0.00103034,0.00103034
13,81.784,1.51679,2.27722,1.90958,0.10988,0.06775,0.0512,0.01251,2.93541,5.07651,3.81824,0.00102301,0.00102301,0.00102301
14,87.0864,1.55551,2.31692,2.02366,0.10138,0.33521,0.0756,0.02933,1.84409,3.2868,2.6514,0.00101568,0.00101568,0.00101568
15,92.366,1.50585,2.2214,1.90503,0.31276,0.19366,0.10272,0.03917,2.61266,5.22179,3.95339,0.00100834,0.00100834,0.00100834
16,97.6426,1.58342,2.20572,1.98916,0.26205,0.11726,0.0636,0.01813,2.33703,3.62389,3.49744,0.00100101,0.00100101,0.00100101
17,102.866,1.61676,2.26474,2.00763,0.5496,0.13815,0.12932,0.06321,2.12445,3.59899,2.91419,0.000993678,0.000993678,0.000993678
