epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8605,1.93882,4.29005,2.62002,0.0564,0.44643,0.06835,0.03087,2.03331,4.89775,3.09283,6.25e-05,6.25e-05,6.25e-05
2,17.5421,1.74412,3.30542,2.1833,0.53449,0.50287,0.40593,0.19521,1.92554,3.09303,2.77338,0.000136139,0.000136139,0.000136139
3,20.5435,1.69911,2.62636,1.97682,0.68373,0.86111,0.79646,0.46705,1.42206,3.29364,1.83301,0.000208293,0.000208293,0.000208293
4,23.5189,1.61793,2.95555,1.9003,0.60259,0.60136,0.67574,0.32614,1.58653,3.4492,1.89385,0.000278961,0.000278961,0.000278961
5,26.4029,1.65568,2.47124,1.96572,0.41834,0.64415,0.57379,0.24151,1.80942,4.33141,2.15061,0.000348145,0.000348145,0.000348145
6,29.3308,1.70033,2.18668,1.93145,0.26069,0.2996,0.26179,0.08527,2.04702,4.33044,2.59793,0.000415844,0.000415844,0.000415844
7,32.3631,1.5763,2.32287,1.82253,0.30537,0.40428,0.26388,0.10958,2.14306,4.90433,2.79568,0.000482057,0.000482057,0.000482057
8,35.297,1.66782,2.27972,1.8167,0.30537,0.40428,0.26388,0.10958,2.14306,4.90433,2.79568,0.000546786,0.000546786,0.000546786
9,38.17,1.71222,2.15791,1.90489,0.10174,0.33681,0.10363,0.03302,2.30012,6.84914,3.19846,0.00061003,0.00061003,0.00061003
10,41.091,1.75001,2.23318,1.86008,0.07291,0.23958,0.07788,0.03002,2.16474,6.44242,2.84915,0.000671789,0.000671789,0.000671789
11,43.9988,1.63573,2.19086,1.81022,0.07291,0.23958,0.07788,0.03002,2.16474,6.44242,2.84915,0.000732063,0.000732063,0.000732063
12,46.8813,1.62287,1.9974,1.81138,0.30341,0.17014,0.09435,0.03846,2.28916,16.4652,3.31643,0.000790851,0.000790851,0.000790851
13,49.6381,1.5624,2.65793,1.78048,0.30341,0.17014,0.09435,0.03846,2.28916,16.4652,3.31643,0.000848155,0.000848155,0.000848155
14,52.6024,1.53055,2.65483,1.71525,0.30341,0.17014,0.09435,0.03846,2.28916,16.4652,3.31643,0.000903974,0.000903974,0.000903974
15,55.4584,1.6339,2.15442,1.736,0.03281,0.375,0.02364,0.0068,2.536,9.18618,5.09181,0.000958307,0.000958307,0.000958307
16,58.2329,1.73874,2.11486,1.81831,0.03281,0.375,0.02364,0.0068,2.536,9.18618,5.09181,0.00101116,0.00101116,0.00101116
17,61.2247,1.7942,2.15577,1.98731,0.05302,0.34375,0.03101,0.00972,2.65947,inf,11.4849,0.001052,0.001052,0.001052
18,64.2466,2.06625,3.35579,2.19183,0.05302,0.34375,0.03101,0.00972,2.65947,inf,11.4849,0.00103962,0.00103962,0.00103962
19,67.1108,2.12361,3.06694,2.21795,0.05302,0.34375,0.03101,0.00972,2.65947,inf,11.4849,0.00102725,0.00102725,0.00102725
20,70.1327,1.98444,2.48936,2.03094,0.01406,0.27282,0.00819,0.00202,3.10061,822.711,66.0786,0.00101488,0.00101488,0.00101488
21,73.1402,2.04234,2.24911,1.97277,0.01406,0.27282,0.00819,0.00202,3.10061,822.711,66.0786,0.0010025,0.0010025,0.0010025
22,76.1453,2.07215,2.36583,2.14831,0.01406,0.27282,0.00819,0.00202,3.10061,822.711,66.0786,0.000990125,0.000990125,0.000990125
23,79.4359,1.92197,2.2673,1.90444,0.00475,0.17808,0.0105,0.00193,3.18533,177.394,19.478,0.00097775,0.00097775,0.00097775
24,82.3095,1.88498,2.18461,1.91926,0.00475,0.17808,0.0105,0.00193,3.18533,177.394,19.478,0.000965375,0.000965375,0.000965375
25,85.343,1.81445,1.97435,1.77704,0.04565,0.31099,0.06683,0.02768,2.49958,25.2081,6.08533,0.000953,0.000953,0.000953
26,88.4235,1.75673,1.87344,1.81035,0.04565,0.31099,0.06683,0.02768,2.49958,25.2081,6.08533,0.000940625,0.000940625,0.000940625
27,91.3074,1.98339,2.06845,1.93412,0.04565,0.31099,0.06683,0.02768,2.49958,25.2081,6.08533,0.00092825,0.00092825,0.00092825
28,94.1937,1.7401,1.91319,1.69408,0.09299,0.23264,0.09523,0.03416,2.21045,3.66078,2.80022,0.000915875,0.000915875,0.000915875
29,96.9749,1.5936,1.88567,1.66872,0.09299,0.23264,0.09523,0.03416,2.21045,3.66078,2.80022,0.0009035,0.0009035,0.0009035
30,99.8432,1.7139,2.00648,1.81624,0.09299,0.23264,0.09523,0.03416,2.21045,3.66078,2.80022,0.000891125,0.000891125,0.000891125
31,102.787,1.70939,2.04787,1.76463,0.52184,0.14931,0.26264,0.09878,2.42201,3.59412,3.00676,0.00087875,0.00087875,0.00087875
32,105.631,1.70442,1.95746,1.72552,0.52184,0.14931,0.26264,0.09878,2.42201,3.59412,3.00676,0.000866375,0.000866375,0.000866375
33,108.505,1.69124,1.80634,1.63062,0.28198,0.29266,0.27082,0.14138,2.49456,2.66918,3.25795,0.000854,0.000854,0.000854
34,111.293,1.72274,1.57687,1.77829,0.28198,0.29266,0.27082,0.14138,2.49456,2.66918,3.25795,0.000841625,0.000841625,0.000841625
35,114.152,1.54811,1.53062,1.6833,0.28198,0.29266,0.27082,0.14138,2.49456,2.66918,3.25795,0.00082925,0.00082925,0.00082925
36,117.061,1.58802,1.50917,1.7044,0.42592,0.42471,0.35672,0.1981,2.384,2.29858,3.29687,0.000816875,0.000816875,0.000816875
37,120.041,1.58659,1.66212,1.6353,0.42592,0.42471,0.35672,0.1981,2.384,2.29858,3.29687,0.0008045,0.0008045,0.0008045
38,122.87,1.64541,1.65922,1.68601,0.42592,0.42471,0.35672,0.1981,2.384,2.29858,3.29687,0.000792125,0.000792125,0.000792125
